s,C,%/m
Time,Termopar_Couch,Sensor_MQ2_Fumaca
 1.311E+01, 2.498E+01, 1.000E+01
 1.320E+01, 2.476E+01, 9.875E+00
 1.331E+01, 2.443E+01, 9.742E+00
 1.342E+01, 2.396E+01, 9.589E+00
 1.351E+01, 2.331E+01, 9.454E+00
 1.362E+01, 2.271E+01, 9.325E+00
 1.370E+01, 2.226E+01, 9.196E+00
 1.381E+01, 2.192E+01, 9.046E+00
 1.391E+01, 2.159E+01, 8.875E+00
 1.401E+01, 2.145E+01, 8.697E+00
 1.411E+01, 2.172E+01, 8.506E+00
 1.421E+01, 2.257E+01, 8.320E+00
 1.432E+01, 2.376E+01, 8.147E+00
 1.441E+01, 2.450E+01, 8.009E+00
 1.450E+01, 2.453E+01, 7.894E+00
 1.461E+01, 2.590E+01, 7.741E+00
 1.471E+01, 4.925E+01, 8.816E+00
 1.481E+01, 6.970E+01, 1.375E+01
 1.491E+01, 9.410E+01, 2.405E+01
 1.500E+01, 7.585E+01, 3.265E+01
 1.511E+01, 5.955E+01, 3.614E+01
 1.520E+01, 5.157E+01, 3.729E+01
 1.532E+01, 3.848E+01, 3.749E+01
 1.540E+01, 3.505E+01, 3.581E+01
 1.550E+01, 3.908E+01, 3.377E+01
 1.561E+01, 4.234E+01, 3.225E+01
 1.571E+01, 4.517E+01, 3.136E+01
 1.581E+01, 4.486E+01, 3.099E+01
 1.591E+01, 4.635E+01, 3.058E+01
 1.601E+01, 5.277E+01, 3.029E+01
 1.611E+01, 5.305E+01, 3.082E+01
 1.621E+01, 4.907E+01, 3.126E+01
 1.631E+01, 4.813E+01, 3.125E+01
 1.640E+01, 4.443E+01, 3.141E+01
 1.650E+01, 3.719E+01, 3.142E+01
 1.661E+01, 3.535E+01, 3.028E+01
 1.671E+01, 4.523E+01, 2.877E+01
 1.681E+01, 5.266E+01, 2.848E+01
 1.691E+01, 7.133E+01, 2.990E+01
 1.701E+01, 6.809E+01, 3.296E+01
 1.710E+01, 6.827E+01, 3.439E+01
 1.721E+01, 7.184E+01, 3.600E+01
 1.731E+01, 5.599E+01, 3.780E+01
 1.740E+01, 4.893E+01, 3.775E+01
 1.751E+01, 4.318E+01, 3.727E+01
 1.761E+01, 4.141E+01, 3.636E+01
 1.770E+01, 3.761E+01, 3.579E+01
 1.781E+01, 3.125E+01, 3.526E+01
 1.790E+01, 2.816E+01, 3.435E+01
 1.801E+01, 2.994E+01, 3.298E+01
 1.810E+01, 5.475E+01, 3.053E+01
 1.820E+01, 8.311E+01, 3.147E+01
 1.830E+01, 9.105E+01, 3.576E+01
 1.840E+01, 8.707E+01, 4.063E+01
 1.850E+01, 6.537E+01, 4.356E+01
 1.860E+01, 4.529E+01, 4.453E+01
 1.870E+01, 4.014E+01, 4.289E+01
 1.881E+01, 5.425E+01, 3.990E+01
 1.891E+01, 6.323E+01, 3.955E+01
 1.900E+01, 4.292E+01, 4.030E+01
 1.911E+01, 4.519E+01, 3.880E+01
 1.920E+01, 3.788E+01, 3.836E+01
 1.931E+01, 3.785E+01, 3.677E+01
 1.940E+01, 5.784E+01, 3.447E+01
 1.950E+01, 1.085E+02, 3.517E+01
 1.960E+01, 1.123E+02, 4.471E+01
 1.970E+01, 9.432E+01, 4.983E+01
 1.980E+01, 8.766E+01, 5.149E+01
 1.990E+01, 9.525E+01, 5.083E+01
 2.000E+01, 8.708E+01, 5.170E+01
